,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
79,86,714085434726,3,2021-03-13T17:24:01.602Z,5e70c8ae4a860a0008edf420,female,22,Portuguese,3,clow,neutral,"fruit,vegetables,lweight,Eat less animal products",none,0,European,0
80,87,231197445397,3,2021-03-13T17:24:20.749Z,5e183cd9373b8c118f1afe97,female,26,Polish,2,cmedium,neutral,"salt,fruit,vegetables,lweight",gluten,0,European,0
81,88,1510382618096,3,2021-03-13T17:24:11.431Z,5ff61f034368b817c12167d6,female,30,Polish,3,cmedium,healthy,gweight,vegan,0,European,0
82,89,1450281288484,3,2021-03-13T17:24:43.501Z,5f9699855237d2000cb00fcc,male,21,Polish,2,cmedium,healthy,lweight,none,0,European,0
83,91,767269557733,3,2021-03-13T17:24:27.732Z,5fa969f2b6ebc40f7f189f61,male,20,Polish,2,cmedium,neutral,gweight,none,0,European,0
84,92,1449910016703,3,2021-03-13T17:24:31.950Z,5c4b4004d0934d0001c3d17b,female,38,Portuguese,2,cmedium,neutral,lweight,none,0,European,0
85,93,1234920850081,3,2021-03-13T17:24:57.119Z,5bf5e55ebf67dc00015a2b3f,male,24,Polish,2,cmedium,unhealthy,lweight,none,0,European,0
86,94,1546425014718,3,2021-03-13T17:24:51.226Z,602a4a1e951673a04898b647,male,22,Polish,3,chigh,healthy,"protein,gweight",none,0,European,0
87,95,422954524517,3,2021-03-13T17:24:44.739Z,5f2f31201649be31653dabc5,female,37,Polish,4,cmedium,healthy,none,none,0,European,0
88,96,178662704939,3,2021-03-13T17:24:44.968Z,6037a0d84bcef502dd175635,female,32,Polish,4,chigh,healthy,none,none,0,European,0
89,97,742017375138,3,2021-03-13T17:24:47.466Z,5e5ecdecaf4e8a0985100df1,male,27,greek,3,cmedium,healthy,lweight,none,0,European,0
90,98,411115178102,3,2021-03-13T17:23:36.874Z,5eb14e176ee9a02245af69a4,male,32,Belgian,4,chigh,neutral,lweight,none,0,European,0
91,99,1288563597071,3,2021-03-13T17:24:46.081Z,5fdfde5bc92b368a2d8606dc,female,21,portuguese,2,chigh,neutral,"protein,lweight",lactose,0,European,0
92,100,1206298592286,3,2021-03-13T17:24:52.195Z,5f77475f5173b424b9746c28,male,23,Poland,6,clow,unhealthy,none,none,0,European,0
93,101,1261407792251,3,2021-03-13T17:24:28.962Z,5ff1f745c274b366e099b4d8,female,22,UK,3,chigh,healthy,"salt,fruit,vegetables",none,0,0,Other
94,102,963310215828,3,2021-03-13T17:25:11.707Z,5f6b8b24c71e610b1bab06e6,male,19,Polish,1,clow,neutral,salt,none,0,European,0
95,103,27123847908,3,2021-03-13T17:25:05.068Z,5daeef1127595a00157d30d3,male,33,Polish,4,chigh,healthy,Eat healthy,none,0,European,0
96,104,1189768853345,3,2021-03-13T17:25:00.748Z,5f22ea5ece2fd801e81079b9,male,24,British,3,cmedium,neutral,none,none,0,European,0
97,105,167864653586,3,2021-03-13T17:25:08.517Z,60147744b16bec4a084f1090,male,21,portuguese,2,cverylow,neutral,none,none,0,European,0
